=== 四级 CET4 (600) ===
passage | 段落、通道
produce | 生产
complete | 完全地
brain | 大脑
level | 水平、等级
able | 有能力的
run | 跑步、运转
win | 赢
present | 呈现、提出、礼物、现在
quality | 质量
difficult | 困难的
easy | 容易的
reduce | 减少
tend | 趋向于、照料
expect | 预料、期待
order | 订单、命令、顺序
environment | 环境、自然环境
law | 法律、法则
paper | 纸、试卷
kid | 孩子
mind | 思维、想法
economy | 经济
percent | 百分之的
sleep | 睡眠
recent | 近来的
half | 一半
close | 关闭、近
attention | 注意
free | 自由的
poor | 贫穷的、可怜的、糟糕的
body | 身体
measure | 衡量、测量
office | 办公室
travel | 旅行
major | 主要的
professor | 教授
remain | 保持
next | 下一个
design | 设计
history | 历史
nation | 国家
real | 真的
customer | 顾客
subject | 科目
ago | 以前
focus | 聚焦、焦点
local | 当地的
certain | 确定的
success | 成功
late | 晚的
true | 真实
name | 名称、命名
matter | 事情、问题、重要
stress | 压力
identify | 识别、鉴定
involve | 涉及
raise | 举起、提出
online | 在线
stay | 保持、停留
population | 人口
risk | 风险
medium | 中等的、媒介
fill | 填
lack | 缺乏
strong | 强壮的、强烈的
patient | 有耐心的、病人
rule | 规则
continue | 继续
receive | 收到
record | 记录
sell | 卖
month | 月
note | 笔记
community | 社区、共同体
demand | 要求
instead | 反而
challenge | 挑战
store | 存储、商店
check | 检查
deal | 处理
opportunity | 机会
list | 清单
average | 平均的
break | 打破
eye | 眼睛
fast | 快
common | 普通的
condition | 条件、情况
light | 点亮、轻的
meet | 遇见、会见
shop | 购物
concern | 关心、涉及
task | 任务
effort | 努力
plant | 植物、工厂
encourage | 鼓励、发展
career | 职业
fail | 衰退、破产
avoid | 避免
influence | 影响
music | 音乐
add | 增加
item | 物品、条款
policy | 政策
force | 强迫、迫使
member | 成员
cut | 切、砍
enjoy | 享受
explain | 解释
side | 一边
adult | 大人、成人
general | 一般的、总的、将军
international | 国际的
nature | 自然界、性质
type | 类型、输入
doctor | 医生
mother | 妈妈
save | 保存、拯救
situation | 情况
essay | 论文
game | 游戏
graduate | 毕业、获学位
decade | 十年
medical | 医疗的
miss | 错过、想念
train | 列车、行列
interview | 采访、面试
stop | 阻止
reach | 到达、达到
sign | 标牌
earth | 地球、泥土
project | 项目、计划
generation | 产生、一代人
rich | 丰富的
standard | 标准
story | 故事
war | 战争
air | 空气
contain | 包含
night | 夜晚
main | 主要的
love | 爱
soon | 很快的
sound | 声音
account | 账户
affect | 影响
return | 回归、返回
sure | 肯定的
translate | 解释、翻译、转变
describe | 描述
full | 满的
purpose | 目的
room | 房间
appear | 出现
center | 中心、中央
impact | 冲击
period | 一段时间
television | 电视
position | 位置
attitude | 态度
machine | 机器
clear | 清楚的
field | 田地、场地、领域
pass | 经过
protect | 保护
lecture | 讲座
factor | 因素、因子
top | 顶端
draw | 画画
firm | 牢固的
memory | 记忆
whole | 全部的
watch | 观看
death | 死亡
white | 白色的
bear | 携带、承受
claim | 索要、声称
decline | 拒绝、下降
model | 模型
wrong | 错误的
expert | 专家、专门的
act | 行为、行动、扮演
carry | 携带
send | 发送
accept | 接受
degree | 温度、程度
potential | 潜在的
pause | 暂停
amount | 数量
income | 收入
opinion | 意见
disease | 疾病
stand | 站立
popular | 受欢迎的
argue | 论述、争论、争吵
physical | 自然科学的、肉体的
team | 团队
material | 材料
compare | 比较
prove | 证明
perhaps | 也许
please | 请、使愉快
private | 私人的
head | 前往
street | 街道
available | 可行的
boy | 男孩
current | 当前、电流、趋向
goal | 目标
speed | 加速
together | 一共
middle | 中间的
sale | 销售
grade | 年级
visit | 参观、访问
content | 内容、目录、满足的
source | 来源
gap | 间隙、分歧
depend | 依赖
especially | 尤其
farm | 农场
modern | 现代的
approach | 接近、方法
correct | 更正、纠正
hope | 希望
special | 特别的
picture | 图片
survey | 调查、测量
event | 事件
step | 步骤
habit | 习惯
similar | 相似的
chance | 机会
necessary | 必要的
apply | 应用
father | 父亲
foreign | 国外的
access | 进入、存取
oil | 油
sport | 体育运动
exist | 存在
advantage | 优势
agree | 同意
newspaper | 报纸
remember | 记得
land | 着陆、土地
solve | 解答
function | 功能
phrase | 短语
experiment | 实验
sit | 坐在
structure | 结构
message | 消息
seek | 寻求
promote | 促进
figure | 算计、人物、数字
road | 路
limit | 限制
fear | 恐惧
supply | 供应
relate | 讲述、使相互关联
prevent | 阻止
baby | 宝贝
pattern | 模式、图案
search | 搜索
regard | 看待
serious | 严肃认真的、严重的
black | 黑色的
climate | 气候
heart | 心
president | 总统
serve | 服务
traffic | 交通
walk | 走路
award | 颁奖、奖励
determine | 决定
gain | 获得、增加
speech | 演讲、言语
prepare | 准备
publish | 公布、出版
suffer | 遭受
mental | 精神的
positive | 积极的
party | 派对
contribute | 贡献
dream | 梦想
drink | 喝
trade | 交易
achieve | 实现
conflict | 冲突
trouble | 麻烦
girl | 女孩
exercise | 锻炼
status | 状态
various | 各种各样的
above | 在…上面
basic | 基本的、根本的
fit | 健康的、适合
occur | 发生
refer | 提及
die | 死
attend | 出席、照看
maintain | 保持、维持
town | 城镇
wait | 等待
alone | 单独的、仅仅
meeting | 会议
feature | 特征、容貌、以……为特色
tax | 税、对……征税
express | 表达
shift | 转移、转换
simple | 简单的
couple | 情侣、夫妻
image | 形象、肖像
key | 钥匙、关键
theory | 理论
card | 卡片、纸牌
catch | 抓住
realize | 认识到、体会到
select | 选择
cover | 覆盖
earn | 挣得
attract | 吸引
clean | 干净的
trend | 趋势
desire | 渴望
lie | 谎话、说谎
method | 方法
promise | 承诺
network | 网络
billion | 十亿、万亿
cook | 烹饪
daily | 破晓、开始
detail | 细节
normal | 正常的
post | 发布、张贴、邮寄
reward | 回报、报酬
device | 装置、方法
discover | 探索、发现
drop | 掉下
else | 其他
introduce | 介绍
court | 法庭、球场
drug | 药
range | 范围
warm | 温暖
accident | 事故
fashion | 时尚
indicate | 表明
particular | 特定的
attach | 附上、附加
slow | 慢的
credit | 信用
finish | 完成
happy | 快乐的
bill | 账单
deep | 深的
fire | 火、开除
belief | 信仰、相信
moment | 时刻
museum | 博物馆
site | 景点、站点
address | 演说、地址
concept | 概念
crime | 犯罪
damage | 损害
restaurant | 饭馆
size | 大小
federal | 联邦的
progress | 进步
mistake | 错误

=== 六级 CET6 (400) ===
appropriate | 恰当的
cognitive | 认知的
skim | 掠过
excerpt | 摘录
transition | 过渡、转变
adolescent | 青少年
slash | 斜杠、削减、砍
haven | 港湾
mar | 毁坏、破坏
trait | 特征
chronic | 慢性的、长期的
diminish | 削弱、贬低
jack | 千斤顶、男人、插座
obscure | 不为人知、晦涩难懂
prolong | 延长
random | 随机的
ecosystem | 生态系统
epidemic | 流行性的、流行病
foster | 培养、培育
subtle | 微妙的、细微的
crude | 粗鲁的、简陋的
proofread | 校对
skeptical | 怀疑的
vice | 恶习、邪恶、缺点
celebrity | 名人
census | 人口普查
subsidy | 津贴
linguistic | 语言的
referee | 裁判
suicide | 自杀
suppress | 压制、镇压
elaborate | 复杂的、详尽的
premium | 保险费、优质的
ambiguous | 模棱两可的
etiquette | 礼仪
esteem | 尊敬
hemisphere | 半球
nurture | 培育
cathedral | 大教堂
stereotype | 刻板
sue | 起诉
endeavor | 努力
profile | 轮廓、简介
pyramid | 金字塔
activate | 激活
debris | 碎片
lawsuit | 诉讼
conceive | 怀孕、设想
intellect | 智力
momentum | 势头
monopoly | 垄断
quest | 探索、寻求
tenant | 房客、租户
assert | 断言
extract | 提取
inherent | 固有的
navigate | 航行
portray | 描绘
expedition | 探险队
hypothesis | 假设
incorporate | 合并
precede | 先于
prey | 猎物、捕食
revive | 复苏、唤醒
toxic | 有毒的
underlie | 构成...的基础、在...之下
entity | 实体
penguin | 企鹅
pesticide | 农药
prestige | 声望
syndrome | 综合症
alien | 外星人
array | 系列、序列
correlate | 关联
knight | 骑士
longevity | 长寿
sculpture | 雕塑
thrill | 激动
tribe | 部落
exotic | 奇异的、外来的
illiterate | 文盲
manifest | 显示、显然的
nonetheless | 然而
retrieve | 取回、恢复
alleviate | 减轻
casino | 赌场
demographic | 人口的
depict | 描述、描绘
hurricane | 飓风
linger | 徘徊、逗留
testify | 作证
dwell | 居住
fraud | 欺骗
intervene | 干预
medication | 药物
merge | 合并
snap | 猛咬、拍摄、突然的
spectator | 观众
tempt | 引诱、吸引
trivial | 琐碎的
wholesale | 批发
allocate | 分配
divert | 转移
hop | 跳跃
legitimate | 合法的
lure | 吸引、诱惑
offspring | 子孙、后代
olive | 橄榄
practitioner | 从业者
rigid | 严格的、僵硬的
destiny | 命运
devastate | 毁坏
imperative | 紧急的、祈使的
ritual | 仪式
aggravate | 恶化
coral | 珊瑚
distort | 扭曲
eligible | 合适的
hierarchy | 等级制度
indulge | 迁就、放任
masculine | 阳刚的
paradise | 天堂
plausible | 似乎是真的
revenge | 报复
rotate | 轮流
sentiment | 情绪
surpass | 超越
threshold | 门槛
unprecedented | 前所未有的
vaccine | 疫苗
vocal | 声音的、声乐作品
boycott | 拒绝参加
coincide | 一致
conserve | 保存、节省
constrain | 限制
detach | 分离、派遣
predator | 食肉动物
probe | 探测、探针
prone | 俯卧的
sanctuary | 圣所
scrutiny | 监视
spectrum | 光谱
spider | 蜘蛛
subordinate | 次要的、下级的
subscribe | 订阅
tactic | 策略
turtle | 捕龟
cocktail | 鸡尾酒
compliment | 恭维
helmet | 头盔
iceberg | 冰山
illuminate | 照明、说明
inertia | 惯性
magnify | 放大
metropolitan | 大都市的
mindset | 心态
molecule | 分子
premise | 前提
salvage | 打捞、抢救
turnover | 营业额
abnormal | 不正常的
absurd | 荒唐、可笑的
anonymous | 匿名的
chamber | 室
complement | 相辅相成、补语
conducive | 有益的
confer | 商讨
conspicuous | 显著的、显眼的
courtesy | 礼貌
disclose | 揭露、公开
embody | 包含
fragile | 脆弱的
grid | 网格
inject | 注入
loom | 织布机
overturn | 掀翻、推翻
poultry | 家禽
propel | 推进
recipe | 食谱
texture | 纹理
trillion | 万亿、兆
virgin | 处女
archive | 档案、存档
chancellor | 总理
deduce | 推断
default | 默认、违约
domain | 领域
extravagant | 奢侈的
feminine | 女性的
finite | 有限的
fiscal | 财政的
hamper | 妨碍
hockey | 曲棍球
hybrid | 杂种
intrinsic | 内在的、固有的
intuition | 直觉
pant | 裤子
pest | 害虫
reconcile | 调和、一致
renaissance | 文艺复兴
sanction | 批准、处罚
slack | 松弛的、淡季、萧条的
subsistence | 生存
unify | 使成为一体
vulgar | 粗俗的
antibiotic | 抗生素
bald | 秃头的、单调的
contemplate | 沉思、打算
cumulative | 累积的
dubious | 可疑的
entail | 意味着
erect | 建立、直立的
expire | 期满、终止
extinct | 灭绝的
hardy | 耐寒的、勇敢的
hawk | 鹰
ideology | 意识形态
integral | 完整的
intricate | 复杂的
legacy | 遗赠物
lever | 杠杆
mediate | 调停
metabolism | 新陈代谢
patrol | 巡逻
premature | 早产儿
reckless | 鲁莽的
repel | 击退、排斥
shield | 盾
simultaneous | 同时发生的
snail | 蜗牛
terminate | 终止
tow | 拖
tumble | 暴跌、跌倒
adhere | 坚持
analogy | 类比
catastrophe | 大灾难
certify | 证明
chunk | 厚块、大片
cocaine | 可卡因
collide | 碰撞
degrade | 降解
displace | 取代
drawback | 缺点
erupt | 爆发
evoke | 唤起
hitherto | 迄今
irritate | 激怒
jeopardize | 危及
medieval | 中世纪的
midst | 中间
milestone | 里程碑
multitude | 大量、多数
offset | 抵消
operative | 有效的
predecessor | 前任
rap | 说唱音乐、轻敲
refute | 反驳、驳斥
scenario | 场景
slump | 暴跌
sob | 呜咽、哭泣
summon | 召唤
superstition | 迷信
tribute | 贡品、称赞
unfold | 展开
whereby | 凭借
accessory | 配件
arrogant | 傲慢的
aspire | 立志
autonomous | 自治的
brisk | 轻快的、活跃的
casualty | 事故
closet | 壁橱
duplicate | 重复
evade | 逃避
evaporate | 蒸发
flip | 翻转、掷
immerse | 浸
impart | 传授
intimidate | 恐吓、威胁
juvenile | 青少年
numerical | 数字的
perpetual | 永久的
pilgrim | 朝圣者
ponder | 考虑
prosper | 成功
reassure | 再保证
safeguard | 保护
saturate | 使饱和、使充满
scrape | 擦伤、刮掉
shark | 鲨鱼
signify | 表示、意味着
simulate | 模拟、冒充
tenure | 任期
warrant | 保证、授权
adverse | 不利的
agony | 极度痛苦
alternate | 交替
amplify | 扩大
bizarre | 奇异的
captive | 俘虏
comic | 喜剧演员、滑稽的
constituent | 成分
converge | 会聚、集中
credible | 可信的
cuisine | 烹饪
dedicate | 致力于
deploy | 部署
designate | 指定
disregard | 不顾、忽视
dome | 圆屋顶
dwarf | 侏儒
embark | 着手
embed | 嵌入
emigrate | 移民
heroin | 海洛因
incur | 招致
ingenious | 精巧的、有独创性的
landmark | 里程碑
livestock | 牲畜
lottery | 彩票
lounge | 休息室
merchandise | 商品
mock | 嘲笑、模仿
morale | 士气
obsess | 困扰
oppress | 压迫
overstate | 夸张
permeate | 渗透
plead | 恳求
pottery | 陶器
recur | 重现
solitary | 孤独的
spectacle | 景象、奇观
stroll | 漫步
stumble | 绊倒、蹒跚
susceptible | 易受感染的
temperament | 气质
testimony | 证明
transistor | 晶体管
treasury | 财政部
verse | 诗
void | 空白、无效的、空虚
wardrobe | 衣柜
convict | 罪犯
anecdote | 轶事
auction | 拍卖
bishop | 主教
bleak | 萧瑟的、无希望的
brew | 酿造
carve | 雕刻
civic | 公民的
cliche | 陈腔滥调
compile | 编译
concise | 简明的
contrive | 设计、发明
credential | 凭据
cripple | 跛子、削弱
custody | 监护、拘留
discourse | 讨论、谈话
disperse | 分散
dividend | 被除数、股息
divine | 神圣的、绝妙的
dole | 失业救济金
dub | 配音
eccentric | 古怪的
elicit | 引出
erode | 侵蚀
exempt | 免除
facet | 方面
flatter | 奉承
foul | 犯规、肮脏的
fracture | 断裂
gasp | 喘气、喘息
graze | 放牧
hover | 盘旋
hum | 哼、嗡嗡声
hygiene | 卫生
impair | 损害
inborn | 天生的
levy | 征收
mandate | 授权
mentor | 指导
naive | 天真的
negligible | 微不足道的
nominate | 提名
notorious | 臭名昭著的
pamphlet | 小册子
pasta | 意大利面
perish | 毁灭
physiological | 生理学的
rectify | 改正
reign | 统治
robust | 强健的、粗野的
sacred | 神圣的
solidarity | 团结
sovereign | 君主、至高无上的
spear | 矛
taboo | 禁忌
tentative | 暂时的
tile | 瓷砖
